600 600
60000 60000 50000000
298 248 0 48
44 524 0 27
294 64 0 40
526 599 0 47
548 305 0 1
302 161 0 44
458 72 0 63
184 540 0 84
513 574 0 49
313 83 0 46
538 421 0 27
65 3 0 8
107 32 0 0
169 149 0 66
582 565 0 61
420 183 0 34
92 571 0 90
438 146 0 84
276 524 0 45
153 316 0 85
106 497 0 44
363 401 0 66
172 170 0 94
51 201 0 60
32 210 0 97
79 143 0 21
233 328 0 59
237 177 0 85
505 265 0 43
166 359 0 50
370 116 0 86
567 499 0 75
316 182 0 83
562 397 0 54
77 204 0 28
121 464 0 93
504 27 0 89
223 393 0 44
463 332 0 14
279 493 0 35
364 203 0 96
496 295 0 22
562 143 0 43
147 480 0 97
284 155 0 90
349 94 0 63
241 407 0 26
170 401 0 95
474 119 0 52
308 199 0 81
427 304 0 68
31 28 0 9
85 121 0 25
130 335 0 0
354 302 0 40
312 59 0 31
34 10 0 78
316 532 0 12
392 273 0 22
86 120 0 50
113 172 0 84
78 185 0 13
249 400 0 88
386 575 0 46
297 280 0 63
559 175 0 22
319 382 0 24
220 202 0 39
558 392 0 24
365 22 0 64
326 482 0 69
117 111 0 85
342 151 0 29
219 587 0 86
285 71 0 7
347 107 0 100
384 139 0 88
580 436 0 85
181 435 0 46
281 348 0 21
253 565 0 72
457 230 0 87
458 47 0 87
506 136 0 12
131 99 0 86
91 273 0 45
362 187 0 4
83 503 0 15
8 575 0 74
395 197 0 74
188 543 0 92
283 71 0 44
95 283 0 18
393 512 0 26
276 196 0 95
558 446 0 36
200 399 0 51
145 291 0 1
242 562 0 84
434 63 0 16
485 114 0 31
309 561 0 91
5 368 0 10
206 121 0 32
335 7 0 51
482 270 0 8
144 348 0 50
593 235 0 20
11 367 0 20
306 196 0 85
484 415 0 48
111 448 0 74
539 518 0 81
219 534 0 79
107 374 0 75
355 9 0 32
204 188 0 10
320 128 0 13
522 395 0 35
250 406 0 77
579 87 0 51
430 380 0 64
29 528 0 13
93 7 0 78
424 587 0 83
422 420 0 100
25 167 0 65
550 494 0 0
391 511 0 29
9 338 0 94
126 32 0 65
463 411 0 10
62 518 0 61
89 382 0 6
206 24 0 82
388 385 0 83
250 194 0 35
499 158 0 74
162 263 0 44
158 575 0 98
394 13 0 40
423 253 0 50
598 280 0 72
397 410 0 40
343 311 0 68
281 94 0 66
30 225 0 60
531 434 0 84
384 455 0 70
371 307 0 37
0 501 0 41
264 305 0 5
393 416 0 20
148 551 0 1
189 412 0 64
298 553 0 64
204 298 0 70
471 24 0 33
296 151 0 51
269 74 0 49
552 110 0 80
568 423 0 16
126 244 0 96
188 326 0 36
224 484 0 69
409 166 0 69
120 289 0 62
27 65 0 75
503 87 0 58
14 579 0 40
541 33 0 44
311 222 0 82
338 347 0 31
362 324 0 78
293 199 0 11
484 398 0 39
340 7 0 86
360 342 0 25
147 427 0 64
345 147 0 2
339 219 0 70
451 80 0 77
203 210 0 36
598 204 0 10
498 365 0 58
111 498 0 60
180 134 0 76
351 392 0 77
116 360 0 66
596 113 0 30
368 429 0 53
62 47 0 23
328 592 0 26
431 512 0 74
159 224 0 86
123 458 0 28
117 461 0 32
463 100 0 53
561 541 0 88
505 11 0 22
228 415 0 63
510 478 0 36
508 531 0 36
434 9 0 81
417 444 0 11
308 80 0 28
6 511 0 3
194 184 0 72
475 163 0 10
106 184 0 5
196 401 0 58
534 544 0 95
369 507 0 5
263 394 0 23
479 202 0 92
96 8 0 3
63 132 0 28
291 493 0 55
550 341 0 66
155 229 0 0
293 45 0 87
240 184 0 70
447 296 0 31
61 149 0 73
144 595 0 43
13 244 0 32
562 587 0 37
397 345 0 5
463 39 0 83
526 327 0 90
487 61 0 51
484 506 0 3
457 224 0 34
189 578 0 31
285 227 0 22
394 541 0 4
12 366 0 52
588 414 0 42
72 211 0 99
388 35 0 32
83 128 0 76
88 334 0 88
438 426 0 52
472 114 0 65
187 434 0 100
469 293 0 60
526 199 0 70
94 558 0 16
68 81 0 75
492 81 0 17
111 261 0 3
117 256 0 77
28 479 0 62
579 537 0 70
107 79 0 32
167 157 0 24
210 394 0 26
80 588 0 75
316 112 0 60
566 11 0 47
55 105 0 43
301 408 0 65
110 270 0 24
322 426 0 75
357 317 0 0
121 198 0 35
54 265 0 75
269 304 0 53
277 505 0 20
38 268 0 48
208 389 0 60
310 191 0 16
324 413 0 48
585 389 0 60
560 217 0 64
450 184 0 100
380 229 0 16
215 470 0 92
87 121 0 2
112 570 0 18
497 374 0 19
53 55 0 56
517 47 0 49
81 305 0 15
77 585 0 77
59 37 0 92
397 98 0 12
87 52 0 8
340 157 0 53
269 129 0 55
491 175 0 74
501 136 0 78
184 8 0 32
568 317 0 90
465 246 0 100
308 13 0 26
271 293 0 72
452 596 0 83
284 105 0 58
478 477 0 91
593 149 0 67
118 26 0 59
143 139 0 94
440 116 0 74
528 123 0 100
540 128 0 83
157 594 0 62
253 90 0 3
81 251 0 55
476 434 0 18
89 75 0 68
223 484 0 4
109 467 0 23
62 480 0 70
544 90 0 10
250 593 0 77
501 429 0 65
294 392 0 31
395 55 0 71
74 130 0 34
563 412 0 82
271 322 0 13
569 507 0 73
413 414 0 69
99 586 0 90
228 301 0 94
523 42 0 32
7 160 0 17
461 586 0 78
41 239 0 51
188 466 0 78
529 354 0 64
101 23 0 15
312 343 0 3
571 113 0 18
422 271 0 17
350 210 0 94
152 443 0 36
80 415 0 49
213 323 0 38
566 339 0 39
345 470 0 99
311 206 0 69
163 291 0 22
40 491 0 61
528 375 0 71
373 28 0 92
28 524 0 58
84 247 0 89
293 285 0 74
373 270 0 29
67 318 0 89
211 428 0 38
164 512 0 90
548 507 0 60
337 212 0 22
417 213 0 87
288 249 0 94
20 448 0 3
486 418 0 14
367 534 0 54
375 109 0 99
69 154 0 0
573 306 0 76
584 227 0 78
273 225 0 98
88 566 0 96
272 252 0 37
157 139 0 74
289 180 0 7
543 369 0 90
562 551 0 26
49 468 0 61
576 585 0 63
54 211 0 84
452 401 0 50
168 138 0 71
272 107 0 76
261 42 0 48
105 413 0 26
170 285 0 27
505 410 0 96
428 516 0 67
319 325 0 99
361 451 0 84
272 242 0 46
269 339 0 76
63 500 0 58
92 577 0 85
478 230 0 9
439 381 0 44
115 101 0 8
243 368 0 24
40 558 0 97
42 299 0 58
16 564 0 84
162 257 0 93
571 340 0 99
305 56 0 25
552 100 0 56
429 568 0 56
40 106 0 43
22 552 0 90
182 482 0 67
455 349 0 8
257 468 0 51
409 266 0 84
268 306 0 37
399 208 0 43
353 506 0 21
177 531 0 38
176 92 0 96
414 29 0 93
544 582 0 34
493 517 0 91
410 161 0 50
541 68 0 14
208 61 0 24
248 468 0 73
83 84 0 3
189 558 0 27
43 37 0 59
533 592 0 33
407 395 0 84
288 276 0 29
511 445 0 74
530 298 0 44
229 562 0 61
418 113 0 61
239 51 0 97
500 154 0 17
7 556 0 52
309 18 0 95
553 51 0 28
476 448 0 2
341 202 0 72
527 175 0 93
172 359 0 1
221 355 0 7
256 304 0 37
232 491 0 59
215 184 0 4
20 441 0 46
179 79 0 42
186 132 0 36
406 457 0 69
308 387 0 56
299 361 0 63
25 254 0 65
195 163 0 86
455 227 0 19
509 458 0 35
49 345 0 25
157 160 0 51
189 20 0 72
222 143 0 61
153 590 0 100
397 490 0 47
444 102 0 95
356 242 0 87
492 166 0 83
129 32 0 93
66 138 0 0
404 246 0 99
394 291 0 43
303 408 0 79
456 414 0 37
17 487 0 18
166 554 0 10
462 356 0 91
506 99 0 21
582 196 0 98
501 295 0 97
216 533 0 99
165 267 0 4
118 43 0 16
489 174 0 89
491 87 0 32
249 40 0 92
493 12 0 85
433 144 0 2
458 462 0 76
8 49 0 1
321 350 0 5
307 453 0 1
558 91 0 74
330 336 0 33
358 557 0 35
517 448 0 22
282 54 0 63
117 466 0 46
351 433 0 6
515 109 0 58
319 503 0 21
430 321 0 40
62 103 0 37
57 238 0 72
88 308 0 87
59 513 0 91
423 197 0 84
435 564 0 4
581 290 0 80
95 529 0 5
0 512 0 20
344 573 0 98
287 170 0 13
123 599 0 70
542 236 0 59
97 114 0 97
54 398 0 30
504 363 0 93
579 164 0 31
154 192 0 81
332 483 0 5
571 93 0 63
584 214 0 47
6 83 0 91
70 323 0 22
442 327 0 12
402 11 0 2
234 150 0 82
542 105 0 94
461 562 0 84
120 86 0 66
368 313 0 28
0 131 0 55
478 17 0 0
500 422 0 77
183 96 0 16
475 343 0 23
301 24 0 81
265 33 0 31
514 243 0 10
125 131 0 39
147 333 0 62
335 532 0 82
560 525 0 84
273 66 0 57
334 439 0 11
383 465 0 43
489 14 0 92
106 344 0 63
498 506 0 14
455 456 0 31
276 144 0 74
65 329 0 91
183 235 0 21
310 98 0 33
44 359 0 88
529 77 0 99
124 370 0 80
191 499 0 59
476 549 0 9
191 80 0 25
563 519 0 2
143 581 0 26
116 140 0 50
436 521 0 86
317 169 0 52
491 512 0 46
546 253 0 74
143 347 0 81
205 297 0 56
451 596 0 91
2 476 0 39
120 386 0 20
13 41 0 39
32 349 0 21
590 431 0 55
506 40 0 91
566 245 0 54
42 371 0 70
155 217 0 0
204 122 0 10
407 135 0 12
466 292 0 30
35 442 0 24
125 546 0 59
161 453 0 20
5 131 0 47
285 92 0 92
53 265 0 11
560 295 0 21
504 301 0 9
414 179 0 4
263 40 0 21
171 512 0 47
247 550 0 46
482 9 0 72
226 248 0 14
261 9 0 79
338 19 0 57
41 434 0 17
341 508 0 73
458 228 0 4
32 63 0 47
299 264 0 55
247 54 0 4
13 396 0 78
441 18 0 40
285 201 0 36
287 130 0 75
416 545 0 5
288 96 0 1
352 400 0 37
260 74 0 3
505 448 0 1
214 249 0 46
560 274 0 88
29 92 0 44
371 169 0 62
361 19 0 27
562 282 0 32
36 402 0 53
279 271 0 0
141 239 0 95
43 44 0 0
396 19 0 82
363 90 0 9
588 225 0 20
433 552 0 43
209 65 0 67
233 68 0 82
349 18 0 34
122 481 0 1
493 310 0 52
74 6 0 41
548 589 0 40
89 536 0 13
122 540 0 85
175 190 0 52
155 342 0 67
137 246 0 63
14 366 0 63
125 403 0 23
575 299 0 35
565 447 0 86
556 239 0 46
98 118 0 58
143 493 0 100
445 451 0 21
516 291 0 28
119 569 0 7
349 103 0 26
534 585 0 3
596 42 0 29
351 232 0 5
513 403 0 72
424 248 0 86
240 230 0 49
436 244 0 81
268 386 0 30
48 558 0 35
565 547 0 3
386 463 0 91
361 328 0 51
505 489 0 10
440 48 0 92
195 482 0 50
457 166 0 21
412 27 0 58
562 510 0 62
47 265 0 22
527 289 0 57
462 589 0 49
538 484 0 59
123 474 0 80
284 137 0 23
323 407 0 64
55 137 0 11
293 33 0 89
320 23 0 14
479 539 0 41
253 203 0 7
111 558 0 9
232 502 0 41
528 212 0 71
1 0 0 83
168 160 0 45
378 87 0 16
16 360 0 100
165 474 0 68
122 525 0 86
429 457 0 14
573 279 0 9
596 168 0 70
211 220 0 90
89 452 0 74
36 422 0 57
223 201 0 9
560 31 0 48
477 283 0 26
446 94 0 36
531 444 0 48
217 86 0 44
364 10 0 33
81 508 0 62
64 573 0 74
151 595 0 15
388 227 0 20
530 582 0 68
54 173 0 43
146 435 0 82
519 152 0 9
482 234 0 65
94 87 0 45
470 79 0 9
321 207 0 39
528 95 0 47
135 0 0 79
146 388 0 14
191 226 0 62
89 513 0 43
227 310 0 20
71 237 0 63
138 90 0 73
146 509 0 68
262 285 0 33
35 116 0 20
290 328 0 11
252 479 0 90
457 599 0 80
489 1 0 85
349 205 0 64
41 22 0 19
354 166 0 1
86 430 0 85
305 192 0 79
326 107 0 56
76 519 0 60
233 329 0 36
279 510 0 81
514 539 0 32
19 490 0 27
20 579 0 36
78 51 0 83
175 171 0 63
446 557 0 41
66 170 0 10
566 397 0 75
359 24 0 95
10 179 0 6
187 274 0 92
550 49 0 26
383 91 0 22
103 315 0 59
241 502 0 1
558 343 0 21
483 556 0 21
102 108 0 63
552 420 0 62
84 18 0 5
170 129 0 96
313 555 0 7
26 250 0 63
101 179 0 73
126 541 0 25
428 312 0 7
230 586 0 39
426 520 0 66
170 347 0 9
30 207 0 18
437 3 0 44
542 17 0 76
33 575 0 100
577 587 0 23
367 25 0 66
551 203 0 35
580 554 0 34
58 335 0 1
4 195 0 82
199 307 0 11
521 315 0 4
98 481 0 11
460 561 0 34
156 369 0 20
462 296 0 2
252 154 0 9
247 323 0 28
248 596 0 48
81 387 0 6
294 120 0 44
135 560 0 66
35 125 0 30
251 537 0 17
394 459 0 18
468 77 0 15
91 281 0 55
171 172 0 31
423 85 0 64
383 57 0 87
586 536 0 3
230 9 0 11
32 212 0 65
536 571 0 70
191 225 0 75
188 345 0 52
506 242 0 36
531 321 0 51
492 401 0 96
177 456 0 87
299 129 0 19
487 564 0 12
103 432 0 71
58 245 0 40
422 232 0 44
591 513 0 9
118 229 0 93
335 554 0 4
398 530 0 68
0 96 0 97
259 560 0 12
280 527 0 19
456 83 0 15
497 161 0 12
381 412 0 86
93 18 0 51
21 474 0 24
300 527 0 99
272 198 0 54
302 510 0 3
83 492 0 12
500 322 0 74
65 173 0 92
12 76 0 44
284 385 0 82
357 148 0 35
445 565 0 84
12 162 0 77
1 237 0 64
14 137 0 81
526 306 0 98
13 2 0 40
534 255 0 76
123 339 0 100
21 340 0 83
307 258 0 64
326 230 0 82
202 243 0 56
229 217 0 64
544 574 0 36
493 69 0 25
540 438 0 89
527 188 0 49
559 599 0 94
150 373 0 88
325 46 0 90
351 456 0 14
427 105 0 39
64 403 0 12
51 64 0 2
273 40 0 84
297 549 0 56
371 581 0 5
232 438 0 10
597 571 0 77
42 113 0 63
98 280 0 18
496 134 0 70
235 578 0 3
586 382 0 3
3 340 0 56
117 56 0 80
405 570 0 0
522 121 0 19
575 392 0 24
131 277 0 90
427 303 0 71
506 351 0 87
120 364 0 3
226 291 0 39
39 29 0 15
560 267 0 45
240 558 0 13
368 243 0 37
130 129 0 10
97 545 0 3
521 119 0 77
508 583 0 70
598 179 0 15
359 459 0 38
276 184 0 81
153 531 0 53
1 44 0 18
89 436 0 2
587 51 0 0
362 417 0 55
220 152 0 70
187 159 0 90
474 209 0 27
371 520 0 22
592 391 0 40
362 219 0 40
502 451 0 22
530 212 0 93
174 76 0 86
39 226 0 69
558 312 0 48
146 503 0 11
598 283 0 25
13 82 0 70
494 333 0 54
115 26 0 40
436 139 0 11
589 100 0 88
321 20 0 31
104 135 0 97
333 119 0 55
156 395 0 29
509 430 0 0
538 394 0 24
185 568 0 76
153 222 0 85
288 458 0 89
478 13 0 32
529 14 0 100
398 155 0 52
101 185 0 37
236 354 0 84
460 145 0 56
404 378 0 3
52 75 0 87
57 97 0 26
190 237 0 72
428 334 0 87
185 407 0 64
513 375 0 74
520 526 0 5
462 432 0 85
575 167 0 0
20 333 0 19
281 519 0 64
536 191 0 45
100 277 0 43
203 290 0 47
9 19 0 13
314 83 0 4
193 278 0 62
140 235 0 86
277 184 0 9
502 144 0 12
275 393 0 37
561 252 0 89
420 232 0 53
440 170 0 67
27 514 0 13
510 158 0 14
389 107 0 45
267 177 0 27
466 433 0 16
514 306 0 24
121 565 0 48
140 305 0 29
507 178 0 28
382 100 0 1
167 186 0 39
16 238 0 40
34 83 0 44
598 54 0 59
491 2 0 12
379 454 0 47
229 404 0 15
325 335 0 96
49 511 0 98
258 545 0 15
156 89 0 67
492 425 0 36
574 258 0 27
18 568 0 59
312 272 0 35
410 303 0 1
468 167 0 90
245 409 0 2
435 503 0 27
315 595 0 46
469 80 0 3
447 323 0 56
121 265 0 88
145 487 0 64
569 208 0 68
153 161 0 21
198 26 0 0
280 31 0 94
336 410 0 26
568 159 0 75
439 488 0 40
89 415 0 23
269 494 0 89
563 192 0 24
53 45 0 24
408 404 0 36
467 301 0 60
143 9 0 24
261 64 0 79
382 28 0 51
52 272 0 18
509 412 0 44
322 359 0 80
230 84 0 49
175 563 0 34
373 4 0 58
594 317 0 37
338 496 0 7
73 212 0 18
285 357 0 61
225 583 0 25
40 524 0 10
598 324 0 98
292 16 0 92
1 323 0 13
234 518 0 40
365 555 0 57
253 204 0 53
474 469 0 7
394 391 0 0
585 34 0 18
270 445 0 4
379 580 0 19
56 231 0 0
318 216 0 70
461 348 0 64
361 410 0 53
49 149 0 49
327 90 0 30
574 335 0 92
96 547 0 72
124 340 0 75
540 5 0 47
593 276 0 75
585 183 0 56
550 490 0 99
419 427 0 90
169 22 0 13
183 558 0 28
208 336 0 21
391 90 0 77
282 196 0 56
276 73 0 36
579 584 0 82
543 238 0 64
434 491 0 59
332 506 0 79
312 497 0 47
52 424 0 29
454 598 0 97
390 577 0 56
21 382 0 86
343 352 0 20
583 423 0 81
289 551 0 94
529 131 0 88
266 56 0 34
502 124 0 65
559 382 0 40
152 557 0 42
411 11 0 79
119 262 0 65
392 32 0 6
529 552 0 25
215 229 0 14
514 495 0 55
552 252 0 14
108 587 0 3
378 178 0 49
150 304 0 4
163 47 0 45
12 84 0 15
500 398 0 5
411 245 0 80
505 377 0 92
263 413 0 26
273 492 0 54
463 482 0 27
578 377 0 34
557 517 0 25
294 113 0 35
282 523 0 34
136 287 0 89
340 383 0 18
440 387 0 56
167 0 0 21
456 441 0 97
61 536 0 56
374 538 0 72
131 46 0 36
302 482 0 89
97 76 0 33
549 447 0 86
573 231 0 57
284 160 0 10
302 145 0 52
226 531 0 16
509 143 0 85
595 510 0 68
446 21 0 89
447 144 0 78
113 166 0 25
453 418 0 36
85 45 0 50
170 155 0 19
390 48 0 64
452 487 0 31
312 168 0 49
567 400 0 90
402 88 0 75
439 266 0 55
594 181 0 52
591 431 0 79
376 6 0 56
316 342 0 33
318 446 0 17
349 154 0 73
358 503 0 49
293 95 0 62
131 161 0 61
139 558 0 18
573 14 0 66
107 199 0 2
457 32 0 63
532 250 0 40
430 103 0 2
265 106 0 54
232 253 0 7
366 94 0 15
182 194 0 29
161 419 0 57
418 211 0 87
341 468 0 5
213 455 0 46
200 589 0 76
592 54 0 55
196 514 0 51
458 140 0 64
285 331 0 28
245 453 0 76
506 296 0 14
358 4 0 3
303 337 0 86
189 550 0 95
558 93 0 15
20 547 0 64
183 354 0 77
580 585 0 22
79 31 0 88
410 570 0 90
365 331 0 53
438 30 0 89
189 65 0 47
317 515 0 7
46 511 0 54
547 467 0 59
91 408 0 84
297 87 0 25
329 399 0 38
75 34 0 11
208 556 0 27
253 312 0 2
409 431 0 100
28 329 0 68
33 493 0 82
87 596 0 79
449 424 0 67
383 103 0 40
14 99 0 66
364 398 0 82
441 203 0 88
314 80 0 25
325 185 0 60
291 145 0 86
539 557 0 83
394 484 0 23
333 252 0 50
529 564 0 71
295 563 0 72
112 40 0 39
66 180 0 68
133 65 0 72
88 451 0 18
438 76 0 56
399 27 0 77
38 575 0 19
344 565 0 63
444 198 0 39
377 223 0 43
476 576 0 69
574 462 0 80
148 128 0 96
587 163 0 61
21 504 0 38
296 189 0 43
504 461 0 14
93 167 0 94
420 154 0 24
338 247 0 40
93 249 0 51
267 24 0 44
487 30 0 81
525 8 0 41
135 565 0 76
432 477 0 10
296 34 0 17
90 137 0 93
91 253 0 75
13 107 0 66
305 536 0 43
8 367 0 14
82 208 0 11
303 233 0 25
135 554 0 41
275 293 0 76
135 164 0 12
319 533 0 87
437 16 0 31
100 472 0 56
372 361 0 44
204 269 0 62
212 3 0 10
568 460 0 62
50 581 0 48
418 215 0 33
509 406 0 71
154 585 0 98
31 403 0 96
88 517 0 34
400 388 0 50
338 550 0 95
410 446 0 15
20 274 0 8
287 386 0 71
272 461 0 41
430 362 0 7
65 551 0 85
284 242 0 76
145 468 0 58
275 9 0 17
19 440 0 28
479 350 0 61
377 430 0 64
114 579 0 19
139 236 0 17
6 271 0 55
267 91 0 70
34 267 0 14
89 83 0 18
539 580 0 83
234 526 0 88
247 150 0 70
310 244 0 3
378 294 0 2
489 551 0 19
67 245 0 51
459 437 0 72
143 374 0 3
6 317 0 20
499 247 0 67
188 510 0 66
437 129 0 25
106 50 0 59
324 197 0 95
549 38 0 13
381 384 0 82
552 233 0 12
146 269 0 90
311 7 0 9
211 248 0 12
0 517 0 3
199 29 0 18
487 317 0 47
212 124 0 3
182 260 0 53
418 386 0 94
343 145 0 40
588 125 0 96
6 459 0 73
71 553 0 53
349 16 0 86
426 236 0 88
42 380 0 10
570 112 0 39
309 436 0 84
207 32 0 50
317 171 0 12
302 111 0 18
193 24 0 5
366 142 0 96
225 282 0 14
28 45 0 36
195 443 0 42
274 42 0 69
266 55 0 29
105 101 0 8
503 579 0 75
83 418 0 75
507 532 0 15
168 524 0 98
599 392 0 84
364 442 0 34
564 343 0 38
489 279 0 93
457 575 0 15
454 201 0 11
445 68 0 64
515 404 0 35
168 34 0 4
476 97 0 3
114 8 0 45
128 270 0 88
430 586 0 98
450 489 0 94
287 295 0 21
76 307 0 18
86 446 0 8
445 402 0 16
432 342 0 81
113 48 0 11
151 127 0 47
253 19 0 81
32 490 0 98
279 405 0 71
121 84 0 52
62 257 0 53
43 562 0 68
84 360 0 46
509 400 0 53
109 231 0 65
434 114 0 75
464 537 0 8
447 567 0 78
272 170 0 7
2 535 0 48
184 456 0 39
91 578 0 18
559 580 0 37
428 245 0 40
403 27 0 86
286 290 0 91
200 579 0 7
55 554 0 43
471 73 0 46
598 154 0 72
317 456 0 12
258 299 0 41
199 417 0 41
461 367 0 12
302 422 0 54
72 352 0 14
432 125 0 82
292 468 0 33
67 593 0 66
203 527 0 47
114 587 0 14
27 568 0 36
310 459 0 69
468 76 0 9
188 340 0 40
361 150 0 57
38 487 0 84
393 277 0 14
228 485 0 92
104 132 0 31
97 498 0 80
104 17 0 11
583 356 0 42
136 576 0 40
421 217 0 76
266 571 0 58
487 382 0 26
199 365 0 18
234 194 0 6
557 277 0 76
87 280 0 10
127 15 0 70
124 95 0 18
38 165 0 31
548 98 0 69
259 482 0 71
431 61 0 70
406 92 0 40
57 424 0 15
474 126 0 47
18 73 0 29
33 127 0 80
492 52 0 24
288 178 0 94
187 76 0 22
541 7 0 38
36 171 0 79
276 350 0 62
31 485 0 57
412 107 0 94
514 242 0 88
9 216 0 59
82 152 0 20
327 116 0 12
103 256 0 80
557 447 0 82
483 67 0 29
291 32 0 10
283 553 0 32
356 528 0 19
357 39 0 95
108 489 0 17
504 189 0 77
569 5 0 99
255 148 0 96
517 247 0 87
458 442 0 22
589 427 0 52
81 531 0 88
353 303 0 32
496 370 0 62
64 390 0 24
490 247 0 82
220 10 0 97
134 552 0 63
524 408 0 58
565 45 0 99
301 321 0 85
321 231 0 42
37 114 0 77
306 28 0 46
28 299 0 78
236 506 0 8
90 166 0 55
569 370 0 29
196 393 0 67
321 378 0 86
439 4 0 55
395 209 0 30
563 575 0 81
556 89 0 20
72 469 0 34
152 317 0 21
558 85 0 71
479 35 0 1
45 349 0 68
453 280 0 46
148 154 0 47
595 481 0 76
19 387 0 63
43 375 0 96
458 453 0 83
310 111 0 8
515 347 0 90
72 468 0 58
198 73 0 90
89 511 0 75
10 152 0 35
472 430 0 5
100 298 0 35
65 301 0 61
247 268 0 52
404 357 0 63
226 92 0 1
545 210 0 82
335 585 0 9
504 398 0 10
231 265 0 23
262 206 0 93
83 524 0 74
265 337 0 97
585 599 0 2
443 286 0 40
392 536 0 21
473 346 0 39
512 599 0 26
191 307 0 31
567 218 0 22
280 167 0 45
129 12 0 1
47 28 0 24
311 277 0 84
14 588 0 5
215 328 0 46
260 326 0 18
470 43 0 32
349 593 0 67
100 20 0 90
109 166 0 75
408 95 0 28
97 150 0 62
501 335 0 35
109 86 0 86
447 115 0 45
30 339 0 49
318 430 0 95
163 494 0 32
218 506 0 41
457 226 0 47
562 122 0 10
587 429 0 11
90 563 0 97
71 196 0 6
311 171 0 59
519 530 0 96
110 425 0 16
101 250 0 22
386 274 0 46
55 398 0 14
175 501 0 71
442 64 0 39
528 526 0 71
5 113 0 64
303 284 0 20
328 208 0 80
371 282 0 92
352 277 0 51
577 130 0 70
33 164 0 95
510 141 0 58
105 414 0 47
181 33 0 49
142 329 0 99
234 336 0 8
205 437 0 77
72 358 0 21
76 333 0 1
588 328 0 21
500 351 0 61
283 133 0 26
92 117 0 65
83 301 0 49
587 174 0 100
213 124 0 77
299 272 0 53
127 371 0 97
240 513 0 86
265 52 0 62
384 92 0 76
268 236 0 47
173 577 0 1
92 307 0 60
314 115 0 70
579 341 0 19
304 147 0 53
255 594 0 40
263 583 0 87
217 214 0 40
292 195 0 77
320 318 0 79
32 338 0 62
103 67 0 74
239 48 0 23
177 419 0 24
411 165 0 19
196 261 0 9
422 336 0 17
591 569 0 41
526 490 0 69
450 513 0 59
112 65 0 22
107 285 0 90
498 108 0 6
106 111 0 52
285 562 0 24
456 346 0 38
471 286 0 53
142 0 0 98
440 233 0 0
424 537 0 8
539 351 0 94
391 527 0 87
44 194 0 48
267 324 0 40
83 55 0 61
417 187 0 61
85 279 0 22
487 244 0 42
528 553 0 5
8 206 0 82
231 575 0 32
41 449 0 2
567 51 0 64
496 372 0 78
577 177 0 72
147 376 0 89
512 71 0 62
377 282 0 73
217 246 0 56
551 295 0 55
387 41 0 94
260 191 0 48
340 131 0 67
224 435 0 27
178 134 0 42
52 167 0 78
543 526 0 77
468 134 0 91
400 92 0 10
40 551 0 54
407 537 0 4
116 263 0 68
118 549 0 10
574 167 0 98
405 67 0 23
458 407 0 69
305 570 0 72
443 351 0 69
483 466 0 16
232 191 0 95
566 258 0 38
509 305 0 90
243 357 0 50
378 545 0 50
580 359 0 71
548 87 0 87
22 368 0 89
161 129 0 51
53 38 0 70
329 304 0 68
591 258 0 36
18 185 0 10
6 191 0 50
494 553 0 0
293 167 0 29
577 386 0 91
514 96 0 69
11 587 0 17
181 13 0 6
482 465 0 14
133 303 0 82
290 240 0 34
281 302 0 80
109 171 0 24
220 77 0 10
157 231 0 49
4 566 0 77
187 555 0 77
457 123 0 43
213 432 0 5
76 446 0 97
381 10 0 60
521 436 0 66
365 456 0 10
62 124 0 98
510 251 0 40
278 500 0 78
169 206 0 63
337 228 0 33
577 561 0 22
7 81 0 5
416 59 0 7
422 265 0 24
368 580 0 94
139 166 0 86
513 530 0 0
569 493 0 85
289 552 0 45
357 271 0 32
122 473 0 14
167 511 0 10
187 334 0 34
348 27 0 5
147 199 0 81
169 18 0 72
99 578 0 15
184 121 0 36
401 393 0 56
104 106 0 65
357 534 0 12
430 242 0 82
343 103 0 11
91 564 0 65
259 459 0 39
373 404 0 68
396 561 0 1
113 52 0 88
145 538 0 28
512 137 0 31
271 333 0 72
408 419 0 92
408 101 0 68
272 245 0 66
553 260 0 80
268 303 0 18
495 44 0 96
147 11 0 4
566 334 0 56
386 454 0 4
500 453 0 66
460 277 0 91
470 191 0 51
269 293 0 28
209 7 0 53
398 343 0 71
576 177 0 1
333 244 0 77
124 503 0 49
542 579 0 40
387 515 0 45
106 26 0 3
155 256 0 24
552 253 0 21
492 371 0 49
490 508 0 52
138 365 0 79
465 423 0 15
288 62 0 19
473 569 0 60
415 142 0 4
463 444 0 13
77 373 0 98
186 201 0 97
563 168 0 65
513 370 0 45
190 583 0 64
149 503 0 32
583 461 0 96
553 24 0 65
355 495 0 21
20 193 0 6
216 417 0 6
121 184 0 27
336 105 0 61
77 176 0 36
534 403 0 41
100 587 0 45
159 92 0 45
316 56 0 59
60 41 0 36
325 37 0 40
360 480 0 16
357 467 0 61
421 211 0 44
567 482 0 50
452 464 0 80
194 203 0 15
322 206 0 4
49 41 0 28
224 94 0 31
105 310 0 49
398 445 0 69
237 147 0 45
529 256 0 3
33 359 0 21
189 19 0 12
472 544 0 48
362 228 0 61
501 359 0 21
519 472 0 0
473 546 0 84
472 229 0 80
297 23 0 43
216 396 0 28
135 377 0 23
4 372 0 15
391 54 0 19
586 365 0 0
